qt5-wayland 5.15.5+kde+r38-1
qt5-x11extras 5.15.5+kde+r0-1
rav1e 0.4.1-2
readline 8.1.002-1
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
ripgrep 13.0.0-2
rtkit 0.13-1
ruby 3.0.4-2
ruby-bundledgems 3.0.4-2
ruby-bundler 2.3.17-1
ruby-irb 1.4.1-1
ruby-json 2.6.2-1
ruby-minitest 5.15.0-1
ruby-power_assert 2.0.1-1
ruby-psych 4.0.4-2
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-2
ruby-reline 0.3.1-1
ruby-rexml 3.2.5-1
ruby-stdlib 3.0.4-2
ruby-stringio 3.0.2-1
ruby-test-unit 3.5.3-1
rubygems 3.3.15-1
run-parts 5.5-1
runc 1.1.3-1
rust 1:1.62.0-1
sbc 1.5-2
sdl2 2.0.22-2
sed 4.8-1
semver 7.3.7-1
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
shell-color-scripts 1.1.r96.da2e3c5-1
shellcheck 0.8.0-142
skypeforlinux-stable-bin 8.86.0.407-1
slang 2.3.2-2
snappy 1.1.9-2
sound-theme-freedesktop 0.8-5
spandsp 0.0.6-3
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.39.1-1
srt 1.5.0-1
sudo 1.9.11.p3-1
sushi 42.0-1
svt-av1 1.1.0-1
sysfsutils 2.1.1-1
systemd 251.3-1
systemd-libs 251.3-1
systemd-sysvcompat 251.3-1
t1lib 5.1.2-8
tar 1.34-1
tdb 1.4.7-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
tpm2-tss 3.2.0-1
tracker3 3.3.2-1
trayer 1.1.8-2
tree 2.0.2-1
tslib 1.22-1
ttf-croscore 20220607-1
ttf-fira-mono 2:3.206-4
ttf-fira-sans 1:4.301-2
ttf-font-awesome 6.1.1-1
ttf-font-awesome-4 4.7.0-5
ttf-font-awesome-5 5.15.4-1
ttf-hack 3.003-3
ttf-inconsolata 1:3.000-3
ttf-joypixels 6.6.0-2
ttf-liberation 2.1.5-1
ttf-merriweather 1:2.100-1
ttf-merriweather-sans 1.008-3
ttf-meslo-nerd-font-powerlevel10k 1.000-3
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-oswald 4.101-3
ttf-quintessential 1.001-6
ttf-roboto 2.138-4
ttf-signika 2.000-1
ttf-symbola 13.00-8
ttf-ubuntu-font-family 0.83-8
tzdata 2022a-1
udisks2 2.9.4-1
unzip 6.0-18
uthash 2.3.0-1
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 9.0.0000-1
vim-runtime 9.0.0000-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-icd-loader 1.3.221-1
wayland 1.21.0-1
webkit2gtk 2.36.4-2
webkit2gtk-4.1 2.36.4-2
webrtc-audio-processing 0.3.1-3
which 2.21-5
wireshark-cli 3.6.6-1
wireshark-qt 3.6.6-1
woff2 1.0.2-3
wpa_supplicant 2:2.10-4
wpebackend-fdo 1.12.0-2
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xapp 2.2.12-1
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xcb-util-image 0.4.0-4
xcb-util-keysyms 0.4.0-4
xcb-util-renderutil 0.3.9-4
xcb-util-wm 0.4.1-4
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.4-1
xdg-utils 1.1.3+21+g1a58bc2-1
xf86-input-libinput 1.2.1-1
xf86-video-intel 1:2.99.917+916+g31486f40-2
